	variance
CETN2	0.30768093
NOP53	0.30762154
PRTN3	0.3074069
FXYD5	0.30637577
HSPB7	0.30553743
SDC4	0.3051091
MANF	0.30502057
RAC2	0.30498463
AKR1C2	0.30488512
ITGA8	0.30406064
HIST1H1E	0.3034266
EIF3A	0.3028174
LAMA2	0.302714
SLC16A3	0.30150238
MT-ND6	0.30142602
SLC26A2	0.30131853
C4orf3	0.30035558
TMED9	0.2998185
NFE2L2	0.2998175
SRI	0.29825187
TSPAN3	0.29781845
SUMO2	0.2965678
DYNLT1	0.2964826
MSN	0.29626676
TECR	0.29605517
RPL22L1	0.29592878
LTBP1	0.29564238
LAD1	0.2944894
LST1	0.2938888
MUC5AC	0.29248103
CRISPLD2	0.2924077
MBNL1	0.2917612
EDF1	0.29085967
TACC1	0.28991827
RABAC1	0.2897528
FCGRT	0.28879917
BNIP3	0.2877022
DSG1	0.2870168
ATP5PO	0.28656623
TNFRSF12A	0.28628194
GPC3	0.28586426
FBN2	0.28510806
PARK7	0.2848398
PTGS2	0.28458604
PKP1	0.28443515
UPK1A	0.28416473
ITPR2	0.28384557
DAD1	0.28221563
CALM3	0.28116807
ITGB2	0.28105927
PIFO	0.2793365
AKAP13	0.27847666
RPL17	0.27713987
CA2	0.27619222
GUK1	0.27601182
SDC1	0.2760107
TRPM5	0.27576694
ETS2	0.27401128
HNRNPK	0.27372068
PLAC8	0.27359053
SNRPD2	0.27344415
HBM	0.27325982
FERMT3	0.27298918
FPR1	0.2721315
FAM162A	0.27203906
C9orf16	0.27110276
LGALS3BP	0.27082258
CANX	0.27068225
NDUFB1	0.2700461
CITED4	0.26913348
DKK3	0.26768824
SNCA	0.26722
C1QBP	0.26699656
FILIP1L	0.266839
GLRX	0.26570052
GCSH	0.2651572
FBLN2	0.2648316
STOM	0.26434177
CCNL1	0.26428944
AKAP9	0.26334283
EGFR	0.2632767
HIST1H1D	0.26280606
SERPINB4	0.26231104
CARHSP1	0.26213065
SELENBP1	0.26167825
SUCLG1	0.26119816
FASN	0.26093864
MRC1	0.2606921
RBP2	0.26065555
HNRNPDL	0.26046342
SLC30A8	0.26030067
LAMC1	0.26009184
ANPEP	0.25962886
DHCR24	0.2594294
CFB	0.2588297
YWHAB	0.25867477
GADD45G	0.25774115
DUSP23	0.25741863
MARCO	0.25692478
ACTN4	0.2568
HNRNPA3	0.2567024
EFNA1	0.25651622
ASRGL1	0.25634813
CYSRT1	0.25518346
BCAM	0.25498816
PRDM1	0.25476682
MPP1	0.2544806
VSIG4	0.25415337
IRF1	0.25318137
SMS	0.25307408
CDC42	0.2529333
NFIC	0.25252664
LDLR	0.2524498
TNS1	0.25241524
CAP1	0.25239164
TFCP2L1	0.25236055
ACTR2	0.25117448
C1orf194	0.25028324
