	tsp_mRNA
ALAS2	ALAS2
CD164L2	CD164L2
ZNF510	ZNF510
ISG15	ISG15
SNRPB2	SNRPB2
SEPT3	SEPT3
NKAIN2	NKAIN2
TRIM7	TRIM7
MAGEA4	MAGEA4
M6PR	M6PR
TIMM17A	TIMM17A
L3MBTL1	L3MBTL1
FREM3	FREM3
DEFB108B	DEFB108B
VAX1	VAX1
IL24	IL24
ZNF765	ZNF765
SH2D2A	SH2D2A
HDGFL1	HDGFL1
BCL2L15	BCL2L15
RTL9	RTL9
ARHGEF10	ARHGEF10
WNT8A	WNT8A
RSRC1	RSRC1
VPS25	VPS25
HS6ST2	HS6ST2
STARD13	STARD13
SH2D7	SH2D7
KCNAB2	KCNAB2
ZSCAN9	ZSCAN9
PDLIM4	PDLIM4
SDCBP	SDCBP
NOTO	NOTO
SIT1	SIT1
ACBD4	ACBD4
C11orf68	C11orf68
KBTBD12	KBTBD12
SMCO2	SMCO2
ATF2	ATF2
MTA2	MTA2
TMEM171	TMEM171
HAPLN2	HAPLN2
RNF103	RNF103
LUC7L	LUC7L
COL6A2	COL6A2
CUL5	CUL5
P3H1	P3H1
GPR161	GPR161
ATG14	ATG14
ICAM1	ICAM1
TRIM24	TRIM24
MRPL35	MRPL35
SLC35B2	SLC35B2
CHRM5	CHRM5
FGF9	FGF9
SF3B3	SF3B3
ZSCAN12	ZSCAN12
PCYOX1L	PCYOX1L
CEP128	CEP128
RPGR	RPGR
BCLAF3	BCLAF3
CTSH	CTSH
ZNF761	ZNF761
HIP1R	HIP1R
MED12L	MED12L
GNAI3	GNAI3
ZNF99	ZNF99
NPHP4	NPHP4
NMT2	NMT2
RNF182	RNF182
KRTAP2-1	KRTAP2-1
ZC3H12D	ZC3H12D
DNTTIP1	DNTTIP1
INS	INS
AL596220.1	AL596220.1
LYZL4	LYZL4
TBC1D3I	TBC1D3I
DCT	DCT
TBXA2R	TBXA2R
REEP4	REEP4
SERPINA10	SERPINA10
FGFR3	FGFR3
ALOX5AP	ALOX5AP
TUBG2	TUBG2
CHAF1B	CHAF1B
RHAG	RHAG
FAN1	FAN1
ACAA2	ACAA2
OR5AN1	OR5AN1
GOLGB1	GOLGB1
ROGDI	ROGDI
AES	AES
SMIM18	SMIM18
HNRNPDL	HNRNPDL
PCDHB16	PCDHB16
NPEPPS	NPEPPS
MRVI1	MRVI1
ADA2	ADA2
KCTD9	KCTD9
VPS29	VPS29
CABYR	CABYR
TBC1D22B	TBC1D22B
TP53BP1	TP53BP1
CRP	CRP
FBLN7	FBLN7
SORBS1	SORBS1
OXR1	OXR1
PLD4	PLD4
SPTY2D1OS	SPTY2D1OS
ABHD3	ABHD3
LCTL	LCTL
CD2	CD2
ZNF843	ZNF843
APC2	APC2
CCDC85B	CCDC85B
ANK1	ANK1
AL133373.1	AL133373.1
CRY1	CRY1
SLC35F4	SLC35F4
NCK1	NCK1
C9orf153	C9orf153
PPP2R5C	PPP2R5C
RNF125	RNF125
IFIT3	IFIT3
MARVELD2	MARVELD2
CPSF7	CPSF7
ACCS	ACCS
PRPF38A	PRPF38A
HPD	HPD
TBC1D3E	TBC1D3E
KCTD13	KCTD13
AC118470.1	AC118470.1
BRWD1	BRWD1
CCDC158	CCDC158
AL512428.1	AL512428.1
ANKRD46	ANKRD46
HDAC8	HDAC8
GLRX5	GLRX5
GTF2IRD1	GTF2IRD1
ISOC2	ISOC2
KCNMB4	KCNMB4
HOXA4	HOXA4
TAF7L	TAF7L
GRIP1	GRIP1
TMPPE	TMPPE
KRTAP4-1	KRTAP4-1
MDFI	MDFI
SPACA5B	SPACA5B
TRIM49C	TRIM49C
PNLIPRP1	PNLIPRP1
RTL10	RTL10
GLYATL2	GLYATL2
PSMA4	PSMA4
OXCT1	OXCT1
MUC5B	MUC5B
OR5W2	OR5W2
ANGEL2	ANGEL2
PROM1	PROM1
USP6	USP6
GPR173	GPR173
EIF3L	EIF3L
SETMAR	SETMAR
FFAR2	FFAR2
GOLGA6C	GOLGA6C
HMGXB4	HMGXB4
UBL3	UBL3
PWWP2A	PWWP2A
DUSP18	DUSP18
MTFR1	MTFR1
ZNF26	ZNF26
ZNF75A	ZNF75A
INHBC	INHBC
NUTF2	NUTF2
CUL9	CUL9
GGPS1	GGPS1
PPP1R3G	PPP1R3G
PLAU	PLAU
CCNG2	CCNG2
PDE3A	PDE3A
SOCS3	SOCS3
TSPAN2	TSPAN2
CORO2A	CORO2A
CPN2	CPN2
PAPPA2	PAPPA2
EIF4E	EIF4E
TBX1	TBX1
LEUTX	LEUTX
DND1	DND1
UBA7	UBA7
MMRN1	MMRN1
GVQW2	GVQW2
CYB561D2	CYB561D2
SMARCC1	SMARCC1
CD53	CD53
AEBP1	AEBP1
ABAT	ABAT
LCA5L	LCA5L
ITGA10	ITGA10
ABCC11	ABCC11
FAM114A1	FAM114A1
PDE8B	PDE8B
AC138647.1	AC138647.1
GPR85	GPR85
SNRPC	SNRPC
MKRN1	MKRN1
PRR9	PRR9
SLC12A9	SLC12A9
RMND5B	RMND5B
HLA-DQA1	HLA-DQA1
DTWD2	DTWD2
ENOPH1	ENOPH1
UCK1	UCK1
UNC45A	UNC45A
CTBP2	CTBP2
CXCL14	CXCL14
RASSF9	RASSF9
OR2T34	OR2T34
ARL11	ARL11
HSPBAP1	HSPBAP1
BAX	BAX
SLC2A4	SLC2A4
KRTAP19-6	KRTAP19-6
HASPIN	HASPIN
SGCG	SGCG
SEC61A1	SEC61A1
RMND1	RMND1
GPR149	GPR149
CD68	CD68
ETV2	ETV2
NLRX1	NLRX1
PNLIPRP3	PNLIPRP3
CCDC149	CCDC149
HOXD9	HOXD9
HDAC10	HDAC10
CLP1	CLP1
DPM3	DPM3
C9orf24	C9orf24
PPP1R3B	PPP1R3B
ERN2	ERN2
HPCA	HPCA
RNF185	RNF185
ASPG	ASPG
ABCG1	ABCG1
LIMK2	LIMK2
TLE1	TLE1
CHST6	CHST6
RBM43	RBM43
BRMS1	BRMS1
RNF135	RNF135
HYDIN	HYDIN
TRIM15	TRIM15
PIWIL1	PIWIL1
RECK	RECK
NIPSNAP1	NIPSNAP1
SH2D4B	SH2D4B
NUDT16	NUDT16
CXorf49B	CXorf49B
UCHL1	UCHL1
ALYREF	ALYREF
KCNK12	KCNK12
CBFB	CBFB
HMBS	HMBS
TRAF3IP1	TRAF3IP1
PHF3	PHF3
CATSPERD	CATSPERD
INTS2	INTS2
DENND5B	DENND5B
HERPUD1	HERPUD1
CT47A7	CT47A7
EEF2	EEF2
BCAS4	BCAS4
SFT2D1	SFT2D1
ARL8B	ARL8B
NLRP12	NLRP12
USP53	USP53
ESF1	ESF1
IDS	IDS
CTU2	CTU2
NLGN2	NLGN2
C2CD4A	C2CD4A
KRTAP1-3	KRTAP1-3
PRAMEF13	PRAMEF13
TRA2B	TRA2B
PLA2G3	PLA2G3
OR7A10	OR7A10
BRIP1	BRIP1
CSNK1A1L	CSNK1A1L
FIGLA	FIGLA
DCTN1	DCTN1
RTN4RL1	RTN4RL1
EIF4ENIF1	EIF4ENIF1
JAKMIP3	JAKMIP3
KLK15	KLK15
TNFRSF9	TNFRSF9
PTPN7	PTPN7
GKN1	GKN1
USP17L21	USP17L21
DNAJC21	DNAJC21
DUS3L	DUS3L
RPL36A	RPL36A
SLCO1A2	SLCO1A2
AC132872.2	AC132872.2
ZMAT1	ZMAT1
ADM5	ADM5
SFRP2	SFRP2
SMPDL3B	SMPDL3B
ZNF300	ZNF300
FARSB	FARSB
PRSS48	PRSS48
SELPLG	SELPLG
TAOK2	TAOK2
ACRBP	ACRBP
AL049634.2	AL049634.2
VAPB	VAPB
ENTPD3	ENTPD3
CTNNB1	CTNNB1
MAST4	MAST4
RYR3	RYR3
SEPT11	SEPT11
TVP23C	TVP23C
PAM16	PAM16
MOCS1	MOCS1
LAPTM4B	LAPTM4B
ANGPTL7	ANGPTL7
ADCY1	ADCY1
ERLIN1	ERLIN1
GFER	GFER
LYSMD4	LYSMD4
OAS3	OAS3
CHMP5	CHMP5
FAM129B	FAM129B
ZBTB14	ZBTB14
KRTAP24-1	KRTAP24-1
KHDC3L	KHDC3L
SPATA31D3	SPATA31D3
HS3ST2	HS3ST2
SDF2L1	SDF2L1
DEFB104A	DEFB104A
OR7G1	OR7G1
KRT3	KRT3
NPY	NPY
FAM110B	FAM110B
NMS	NMS
CCDC13	CCDC13
NEK3	NEK3
NFE2L1	NFE2L1
ACPP	ACPP
ASIC2	ASIC2
CARD6	CARD6
OR1S1	OR1S1
OR4C6	OR4C6
TMEM35B	TMEM35B
KCNE1B	KCNE1B
CETN3	CETN3
MYBPHL	MYBPHL
SERAC1	SERAC1
TBPL2	TBPL2
AL627171.2	AL627171.2
SULT1A1	SULT1A1
DKK3	DKK3
NEMP1	NEMP1
PDK3	PDK3
COCH	COCH
PIGC	PIGC
ST8SIA4	ST8SIA4
TMEM250	TMEM250
SH3BP2	SH3BP2
GHDC	GHDC
LDLRAD4	LDLRAD4
ANKDD1B	ANKDD1B
FEM1B	FEM1B
HIST2H3A	HIST2H3A
C18orf21	C18orf21
DDX55	DDX55
ZGPAT	ZGPAT
SYNJ2	SYNJ2
VWA5B1	VWA5B1
FATE1	FATE1
A4GALT	A4GALT
ALDH1L1	ALDH1L1
PCDHA1	PCDHA1
SUV39H2	SUV39H2
GPR160	GPR160
HMOX2	HMOX2
ERG	ERG
WFDC6	WFDC6
TAF15	TAF15
ATAD2	ATAD2
C11orf1	C11orf1
SLC25A40	SLC25A40
SLC25A31	SLC25A31
FOLR1	FOLR1
GLP1R	GLP1R
RPS6KC1	RPS6KC1
F9	F9
FEZ2	FEZ2
TOR3A	TOR3A
NDUFAF5	NDUFAF5
IQCM	IQCM
FBXO5	FBXO5
B3GAT3	B3GAT3
SAMD4B	SAMD4B
TMEM217	TMEM217
ADCY10	ADCY10
FHIT	FHIT
BNIP3L	BNIP3L
QRICH1	QRICH1
ABHD16B	ABHD16B
C14orf28	C14orf28
GIMAP5	GIMAP5
APOC1	APOC1
FAM234B	FAM234B
GOLGA5	GOLGA5
PRKACA	PRKACA
BHMG1	BHMG1
ERVV-2	ERVV-2
KPNA6	KPNA6
AC067752.1	AC067752.1
MBTPS1	MBTPS1
ZBTB11	ZBTB11
DOCK7	DOCK7
SIRPB1	SIRPB1
POLE4	POLE4
SMIM1	SMIM1
FCGR3B	FCGR3B
CCDC155	CCDC155
OR4D6	OR4D6
G3BP2	G3BP2
MS4A6E	MS4A6E
CKAP5	CKAP5
AGXT	AGXT
FBXO36	FBXO36
CCDC27	CCDC27
HBS1L	HBS1L
AP1M2	AP1M2
LIMD1	LIMD1
CLEC1A	CLEC1A
CDC42SE2	CDC42SE2
SMIM5	SMIM5
NECAB2	NECAB2
ACSM6	ACSM6
STRN	STRN
TANK	TANK
ZNF93	ZNF93
KRBOX4	KRBOX4
CASP8AP2	CASP8AP2
CPSF4	CPSF4
PPP1R1B	PPP1R1B
MROH2B	MROH2B
HNRNPR	HNRNPR
SYTL5	SYTL5
ACVR1C	ACVR1C
FAAH2	FAAH2
SCMH1	SCMH1
SMARCA1	SMARCA1
GEMIN6	GEMIN6
CDKN2D	CDKN2D
SIGLECL1	SIGLECL1
C16orf70	C16orf70
NAA35	NAA35
IRAK2	IRAK2
SPATA25	SPATA25
ZFY	ZFY
CAD	CAD
UBE2V1	UBE2V1
PRUNE1	PRUNE1
ZPR1	ZPR1
SPATA7	SPATA7
RASSF4	RASSF4
GNPTAB	GNPTAB
ZC3H8	ZC3H8
AP002495.1	AP002495.1
CCDC71L	CCDC71L
KRT18	KRT18
KCNK13	KCNK13
GNPDA2	GNPDA2
MRGPRF	MRGPRF
PUS3	PUS3
UGT2A3	UGT2A3
NPIPA2	NPIPA2
CHD7	CHD7
FNDC1	FNDC1
SSH2	SSH2
OLFM3	OLFM3
TMEM177	TMEM177
PCOLCE2	PCOLCE2
MIS12	MIS12
ZNF419	ZNF419
CD47	CD47
PHF11	PHF11
SPRY1	SPRY1
DMD	DMD
AL162424.1	AL162424.1
XRN2	XRN2
FKBP10	FKBP10
GRB7	GRB7
PDCL3	PDCL3
PCBP3	PCBP3
CORIN	CORIN
ZNRD1	ZNRD1
GEMIN7	GEMIN7
RNF2	RNF2
RPS3A	RPS3A
NDUFA2	NDUFA2
PABPC3	PABPC3
PLSCR2	PLSCR2
MCOLN1	MCOLN1
SRM	SRM
OR51E1	OR51E1
AC010422.5	AC010422.5
CD7	CD7
SEMA4G	SEMA4G
TJP2	TJP2
PRMT5	PRMT5
DCAF7	DCAF7
B3GALNT2	B3GALNT2
AQP9	AQP9
CC2D2A	CC2D2A
CLIC3	CLIC3
SUZ12	SUZ12
SPACA5	SPACA5
CYP2B6	CYP2B6
MFSD9	MFSD9
SLC38A1	SLC38A1
MRPL13	MRPL13
NDRG2	NDRG2
PCK1	PCK1
MYO10	MYO10
OR7A5	OR7A5
DOC2A	DOC2A
MAP4K1	MAP4K1
GDNF	GDNF
MYH7B	MYH7B
ZBED8	ZBED8
UHRF1	UHRF1
WDR34	WDR34
HIC1	HIC1
AUH	AUH
AC022210.1	AC022210.1
SLC35E2B	SLC35E2B
UCN3	UCN3
CCDC28B	CCDC28B
SHPK	SHPK
MAGI3	MAGI3
HDHD3	HDHD3
CCT8L2	CCT8L2
PTGES3	PTGES3
UBE3B	UBE3B
ARMCX1	ARMCX1
TTI2	TTI2
OSGIN1	OSGIN1
PCNX3	PCNX3
TRDMT1	TRDMT1
ZNF347	ZNF347
CDC42BPB	CDC42BPB
MT-CYB	MT-CYB
PLP1	PLP1
PALMD	PALMD
ZNF800	ZNF800
MCM3AP	MCM3AP
MTG2	MTG2
INVS	INVS
ARAP1	ARAP1
QSOX1	QSOX1
EIF3B	EIF3B
MZB1	MZB1
VPS52	VPS52
ITPRID2	ITPRID2
NAXE	NAXE
B4GAT1	B4GAT1
RUNX2	RUNX2
LMBRD2	LMBRD2
L3MBTL4	L3MBTL4
LGALS8	LGALS8
SNTG2	SNTG2
OSGEPL1	OSGEPL1
LEFTY2	LEFTY2
NINJ2	NINJ2
TDP2	TDP2
PGA4	PGA4
ATXN3	ATXN3
HGS	HGS
HAUS4	HAUS4
SOX6	SOX6
LRRC49	LRRC49
NUP160	NUP160
CA2	CA2
EIF4E2	EIF4E2
ZNF649	ZNF649
TARS	TARS
RIOK1	RIOK1
SPANXN4	SPANXN4
CC2D1A	CC2D1A
YARS	YARS
AL358113.1	AL358113.1
CBWD5	CBWD5
TBCC	TBCC
LARP4	LARP4
ATOH1	ATOH1
TSC2	TSC2
SPCS3	SPCS3
CNKSR1	CNKSR1
CD177	CD177
TRAF5	TRAF5
CCL7	CCL7
SFT2D3	SFT2D3
SGPL1	SGPL1
SSTR5	SSTR5
NAPRT	NAPRT
PCARE	PCARE
TNXB	TNXB
LSAMP	LSAMP
MAN2C1	MAN2C1
SEC14L4	SEC14L4
NYAP2	NYAP2
NKX3-2	NKX3-2
MUSTN1	MUSTN1
METTL27	METTL27
FKBP4	FKBP4
NSMCE4A	NSMCE4A
EFS	EFS
ZBTB44	ZBTB44
MACF1	MACF1
KRT16	KRT16
IL19	IL19
ZNF518B	ZNF518B
DNPH1	DNPH1
MYO1D	MYO1D
C9orf40	C9orf40
LIPC	LIPC
CNN2	CNN2
ZBTB10	ZBTB10
AHCY	AHCY
GABBR2	GABBR2
NELL1	NELL1
TMEM213	TMEM213
RAB27B	RAB27B
ZFAND5	ZFAND5
ADPRHL1	ADPRHL1
KIF5B	KIF5B
UBE2Q1	UBE2Q1
UTP23	UTP23
PLPPR4	PLPPR4
PPAN-P2RY11	PPAN-P2RY11
HOXD10	HOXD10
C11orf98	C11orf98
SMUG1	SMUG1
RAC2	RAC2
SUN2	SUN2
NOXO1	NOXO1
METTL7B	METTL7B
TNRC6A	TNRC6A
PZP	PZP
ACAP2	ACAP2
TONSL	TONSL
IPO5	IPO5
COX4I1	COX4I1
LOXL2	LOXL2
CLDND2	CLDND2
SRP19	SRP19
AC005544.1	AC005544.1
PDS5B	PDS5B
TMPRSS6	TMPRSS6
CAMKV	CAMKV
SIK2	SIK2
FAP	FAP
TSHZ2	TSHZ2
PGM5	PGM5
ACOT7	ACOT7
BAIAP2	BAIAP2
ANO1	ANO1
CAPZA2	CAPZA2
PSPC1	PSPC1
E4F1	E4F1
PLA2G2A	PLA2G2A
NAE1	NAE1
AL445665.1	AL445665.1
MCMBP	MCMBP
TIAM2	TIAM2
KLHL41	KLHL41
SETDB2	SETDB2
MCTP2	MCTP2
DNAH7	DNAH7
HSD17B6	HSD17B6
IL17D	IL17D
N6AMT1	N6AMT1
FGGY	FGGY
FAF1	FAF1
C1orf100	C1orf100
TMPRSS4	TMPRSS4
CENPO	CENPO
NOC2L	NOC2L
ZNF57	ZNF57
PPP1R14D	PPP1R14D
SPAG7	SPAG7
CLPS	CLPS
CRACR2B	CRACR2B
PRDM15	PRDM15
ZDHHC8	ZDHHC8
OR4F29	OR4F29
SLC6A19	SLC6A19
GDPD4	GDPD4
SLC35A5	SLC35A5
NBPF9	NBPF9
AC135068.3	AC135068.3
TUBA1A	TUBA1A
KLF12	KLF12
MTX3	MTX3
KCNC1	KCNC1
GABRR3	GABRR3
PSMB3	PSMB3
CSTF2T	CSTF2T
MT3	MT3
LIN28B	LIN28B
FAM102A	FAM102A
GPD2	GPD2
CHMP2A	CHMP2A
CTAGE4	CTAGE4
C17orf97	C17orf97
UVSSA	UVSSA
DENND3	DENND3
AL691442.1	AL691442.1
CCAR1	CCAR1
SP4	SP4
ATP6V0D1	ATP6V0D1
RPS27A	RPS27A
POMGNT2	POMGNT2
SMIM26	SMIM26
ATP4B	ATP4B
CBWD1	CBWD1
PAGE2B	PAGE2B
VPS50	VPS50
UBAP2	UBAP2
R3HCC1	R3HCC1
FAM133A	FAM133A
FBP2	FBP2
ARL4D	ARL4D
SLC25A46	SLC25A46
LARP1B	LARP1B
GLIS3	GLIS3
CD19	CD19
G3BP1	G3BP1
UQCRB	UQCRB
CLTCL1	CLTCL1
RECQL5	RECQL5
TMEM154	TMEM154
AFAP1L2	AFAP1L2
KRTAP10-4	KRTAP10-4
NUBP2	NUBP2
PIGW	PIGW
IL20RB	IL20RB
CCNI2	CCNI2
NUDCD2	NUDCD2
DOK7	DOK7
SPSB4	SPSB4
TRIM59	TRIM59
HAPLN4	HAPLN4
TTC23	TTC23
AMPD1	AMPD1
CT47A12	CT47A12
MS4A15	MS4A15
PPP1R16A	PPP1R16A
TOMM5	TOMM5
GPAT3	GPAT3
NDUFB4	NDUFB4
SEPT14	SEPT14
CUL2	CUL2
IVD	IVD
CEACAM18	CEACAM18
HIST1H2BA	HIST1H2BA
FLYWCH2	FLYWCH2
FABP6	FABP6
MRPL47	MRPL47
ATP8A2	ATP8A2
TXNDC9	TXNDC9
OR4K15	OR4K15
PRR19	PRR19
SLC4A1	SLC4A1
AL590822.1	AL590822.1
CLMP	CLMP
SCP2D1	SCP2D1
PTRH2	PTRH2
OR9Q1	OR9Q1
KRTAP16-1	KRTAP16-1
MAGEB3	MAGEB3
LOXHD1	LOXHD1
GALNT12	GALNT12
NDRG4	NDRG4
LARS	LARS
SH3RF2	SH3RF2
ERCC2	ERCC2
ADCY6	ADCY6
GC	GC
FAH	FAH
TSC22D1	TSC22D1
NPPC	NPPC
DEC1	DEC1
CSGALNACT1	CSGALNACT1
SRP68	SRP68
C5orf52	C5orf52
RPRD2	RPRD2
ARHGAP20	ARHGAP20
MSRA	MSRA
LECT2	LECT2
RFPL4B	RFPL4B
ARID3A	ARID3A
INSIG2	INSIG2
VCY1B	VCY1B
DDX43	DDX43
ADTRP	ADTRP
GMFG	GMFG
PAXBP1	PAXBP1
ORC4	ORC4
MYBBP1A	MYBBP1A
MPI	MPI
AC002472.1	AC002472.1
SLC17A3	SLC17A3
CARS2	CARS2
GRK6	GRK6
SMIM27	SMIM27
MOGAT1	MOGAT1
SPATA2	SPATA2
SLC30A1	SLC30A1
CLPP	CLPP
CNOT8	CNOT8
SARAF	SARAF
TRIM32	TRIM32
SPATA31A7	SPATA31A7
CPLX2	CPLX2
AC073610.3	AC073610.3
LMO4	LMO4
LGR5	LGR5
RBBP4	RBBP4
ZNF583	ZNF583
AL672142.1	AL672142.1
PPP1R1C	PPP1R1C
ELL3	ELL3
KRTAP6-3	KRTAP6-3
OR8G1	OR8G1
SLC7A4	SLC7A4
GLMN	GLMN
SVOPL	SVOPL
NBEAL1	NBEAL1
PSME1	PSME1
EGR1	EGR1
VAMP8	VAMP8
AC092647.5	AC092647.5
ACSF2	ACSF2
FIG4	FIG4
NFIC	NFIC
TGM1	TGM1
ZNF691	ZNF691
WDR86	WDR86
SCRIB	SCRIB
ARHGAP12	ARHGAP12
IQCC	IQCC
FAM163B	FAM163B
NMNAT2	NMNAT2
KCNK10	KCNK10
RBM10	RBM10
SYNPR	SYNPR
KRTAP10-5	KRTAP10-5
POTEB2	POTEB2
CEP295NL	CEP295NL
PYROXD1	PYROXD1
CRKL	CRKL
CTR9	CTR9
AC005154.5	AC005154.5
NUFIP2	NUFIP2
OSMR	OSMR
OCIAD1	OCIAD1
HSD17B13	HSD17B13
AMACR	AMACR
RSPO3	RSPO3
IL13RA2	IL13RA2
ADCY2	ADCY2
EPCAM	EPCAM
EIF2AK2	EIF2AK2
CT47A10	CT47A10
FABP9	FABP9
ANXA6	ANXA6
TGIF2-RAB5IF	TGIF2-RAB5IF
AC012309.1	AC012309.1
ASPRV1	ASPRV1
RETREG2	RETREG2
UBE2J1	UBE2J1
RBL1	RBL1
AKR1D1	AKR1D1
KRT27	KRT27
CTDSPL	CTDSPL
COX6A1	COX6A1
P2RY4	P2RY4
LRIG1	LRIG1
GJA1	GJA1
LYL1	LYL1
STAM2	STAM2
OLA1	OLA1
RPL36	RPL36
ARHGEF16	ARHGEF16
ETNK2	ETNK2
ANAPC7	ANAPC7
SLC26A1	SLC26A1
TRAM2	TRAM2
CENPS-CORT	CENPS-CORT
BX276092.9	BX276092.9
ZNF334	ZNF334
ZNF564	ZNF564
PSORS1C2	PSORS1C2
ITPR2	ITPR2
VPREB3	VPREB3
SPEN	SPEN
FMOD	FMOD
SALL3	SALL3
SLC41A2	SLC41A2
ZFP42	ZFP42
ZNF365	ZNF365
FCN2	FCN2
SCAI	SCAI
TTLL6	TTLL6
BTN3A1	BTN3A1
TLK1	TLK1
SERTM2	SERTM2
LAPTM5	LAPTM5
GFY	GFY
SPEG	SPEG
OR52N5	OR52N5
DCAF1	DCAF1
PIP4K2C	PIP4K2C
CHN1	CHN1
LMX1A	LMX1A
CLIP4	CLIP4
CYB5D1	CYB5D1
VIPAS39	VIPAS39
IL25	IL25
RPL6	RPL6
HYPM	HYPM
IL31RA	IL31RA
AC092042.3	AC092042.3
LCE3A	LCE3A
KCNAB1	KCNAB1
PCDHGA10	PCDHGA10
DNAJA3	DNAJA3
SKIDA1	SKIDA1
NBPF3	NBPF3
MLH1	MLH1
ZDHHC18	ZDHHC18
HOXB6	HOXB6
IDH2	IDH2
HPR	HPR
RGPD4	RGPD4
FBXO8	FBXO8
C19orf54	C19orf54
ODF2L	ODF2L
RGS19	RGS19
SPANXD	SPANXD
SF1	SF1
CNNM1	CNNM1
TMEM38B	TMEM38B
SHLD1	SHLD1
ITGBL1	ITGBL1
WASF3	WASF3
BUB3	BUB3
CINP	CINP
C17orf47	C17orf47
SLX1B	SLX1B
CCRL2	CCRL2
GPR87	GPR87
SERBP1	SERBP1
PQLC2	PQLC2
RALY	RALY
TXNDC12	TXNDC12
GRM1	GRM1
LHFPL6	LHFPL6
RPL21	RPL21
LALBA	LALBA
NFKBIB	NFKBIB
BCL7A	BCL7A
DCDC2	DCDC2
TATDN3	TATDN3
ALKBH6	ALKBH6
SHISAL2B	SHISAL2B
NHP2	NHP2
ANP32D	ANP32D
VPS26A	VPS26A
HSFX1	HSFX1
OXSR1	OXSR1
MRPS22	MRPS22
ZNF862	ZNF862
RHBDL2	RHBDL2
APOLD1	APOLD1
FAM204A	FAM204A
GNE	GNE
PDE7B	PDE7B
NLRP2	NLRP2
TESC	TESC
FCGR2C	FCGR2C
TOMM20L	TOMM20L
B4GALNT1	B4GALNT1
FUT4	FUT4
WDR70	WDR70
ICE2	ICE2
CTNNA1	CTNNA1
SLC14A2	SLC14A2
C12orf43	C12orf43
C1orf194	C1orf194
EXPH5	EXPH5
PEX14	PEX14
RASA4	RASA4
SLC16A6	SLC16A6
AC097636.1	AC097636.1
CELF2	CELF2
CSNK1G1	CSNK1G1
CYP4F12	CYP4F12
GRIK1	GRIK1
GCNT2	GCNT2
TEAD1	TEAD1
GABPB2	GABPB2
RASSF5	RASSF5
HSD3B2	HSD3B2
AC068580.4	AC068580.4
OR8K5	OR8K5
USP8	USP8
CTSC	CTSC
HIST1H3G	HIST1H3G
DLST	DLST
ZNF628	ZNF628
COPS5	COPS5
CYHR1	CYHR1
HYAL4	HYAL4
PHF8	PHF8
AP002956.1	AP002956.1
VMA21	VMA21
NTRK2	NTRK2
RAB7A	RAB7A
OR4K17	OR4K17
HHIP	HHIP
FAM86C1	FAM86C1
CSTL1	CSTL1
Z84492.1	Z84492.1
CLEC4M	CLEC4M
ENO3	ENO3
HEY2	HEY2
FAM71A	FAM71A
DLX3	DLX3
SYCP1	SYCP1
JMJD8	JMJD8
GOLGA8Q	GOLGA8Q
CXorf38	CXorf38
KRTAP1-1	KRTAP1-1
NOTCH2	NOTCH2
LRPPRC	LRPPRC
ARFGEF1	ARFGEF1
OPLAH	OPLAH
AC069547.1	AC069547.1
E2F7	E2F7
UGT3A2	UGT3A2
OR4D5	OR4D5
PHYHIPL	PHYHIPL
PYROXD2	PYROXD2
PPM1H	PPM1H
SS18L2	SS18L2
HES2	HES2
HAX1	HAX1
PRKG2	PRKG2
SLC35G4	SLC35G4
TAF2	TAF2
POLR2B	POLR2B
MANEAL	MANEAL
TFB2M	TFB2M
HABP2	HABP2
EPB41L1	EPB41L1
UPK3BL1	UPK3BL1
MED7	MED7
PLEKHG4B	PLEKHG4B
EIF2B2	EIF2B2
DNAH9	DNAH9
TNFSF12-TNFSF13	TNFSF12-TNFSF13
OR5M11	OR5M11
NCBP2-AS2	NCBP2-AS2
PSME2	PSME2
FER	FER
EFCAB14	EFCAB14
LGALS13	LGALS13
GPR171	GPR171
ADGRG3	ADGRG3
GIMAP1	GIMAP1
FAM84B	FAM84B
ANKRD20A4	ANKRD20A4
BAHD1	BAHD1
AC025262.1	AC025262.1
YWHAG	YWHAG
KRT33B	KRT33B
CAPN8	CAPN8
TANGO2	TANGO2
CST2	CST2
ZBED2	ZBED2
SUCLG1	SUCLG1
CTDSP1	CTDSP1
OR6A2	OR6A2
PCDHA11	PCDHA11
YIPF5	YIPF5
CPA2	CPA2
SLC16A2	SLC16A2
TMEM200C	TMEM200C
ADGRE1	ADGRE1
GNA15	GNA15
MAPK1IP1L	MAPK1IP1L
CXCL8	CXCL8
ILKAP	ILKAP
GLA	GLA
EIF2A	EIF2A
FRMD4B	FRMD4B
GRAMD1B	GRAMD1B
ZMYM6	ZMYM6
FUT6	FUT6
MAFK	MAFK
FCGR1B	FCGR1B
SPRR1A	SPRR1A
FOCAD	FOCAD
MUC3A	MUC3A
CTSO	CTSO
ATP11B	ATP11B
ZKSCAN4	ZKSCAN4
SLC35A2	SLC35A2
LRRIQ4	LRRIQ4
AGAP1	AGAP1
USP24	USP24
L3MBTL3	L3MBTL3
RBM3	RBM3
CTRC	CTRC
LLGL2	LLGL2
TC2N	TC2N
OR13C4	OR13C4
SMIM30	SMIM30
HSFX2	HSFX2
ATOH7	ATOH7
FOXF1	FOXF1
LASP1	LASP1
ARID2	ARID2
LTBP1	LTBP1
PRKAR2B	PRKAR2B
RCVRN	RCVRN
NICN1	NICN1
